Pearson_L3I,Pearson_L3S,Pearson_L4I,Pearson_L4S,LogPearson_L3I,LogPearson_L3S,LogPearson_L4I,LogPearson_L4S,LogNormal_L3I,LogNormal_L3S,LogNormal_L4I,LogNormal_L4S,Kappa_L3I,Kappa_L3S,Kappa_L4I,Kappa_L4S,GeneralizedPareto_L3I,GeneralizedPareto_L3S,GeneralizedPareto_L4I,GeneralizedPareto_L4S,GeneralizedLogistic_L3I,GeneralizedLogistic_L3S,GeneralizedLogistic_L4I,GeneralizedLogistic_L4S,GeneralizedGamma_L3I,GeneralizedGamma_L3S,GeneralizedGamma_L4I,GeneralizedGamma_L4S,GEV_L3I,GEV_L3S,GEV_L4I,GEV_L4S,EV1_L3I,EV1_L3S,EV1_L4I,EV1_L4S
-0.67,,0.406526251,,,-0.169356019,,0.142241188,-0.67,,0.487821327,,-0.660146489,0.967,0.313314824,0.9459075,-0.67,,0.363625866,,-0.67,,0.54075,,0.292591436,0.3599706,0.028993574,0.253568155,-0.67,,0.44383051,,,,,
-0.66,,0.394844245,,,-0.159888346,,0.139661429,-0.66,,0.476608082,,-0.650130965,0.966,0.2969213,0.944296667,-0.66,,0.349769585,,-0.66,,0.529666667,,0.312599831,0.379939164,0.037771831,0.267759816,-0.66,,0.431999387,,,,,
-0.65,,0.383485764,,,-0.149298529,,0.137427329,-0.65,,0.465589058,,-0.64014783,0.965,0.281892907,0.9426875,-0.65,,0.336206897,,-0.65,,0.51875,,0.332930575,0.399952869,0.04764689,0.282532362,-0.65,,0.420412937,,,,,
-0.64,,0.372447279,,,-0.138539202,,0.135194673,-0.64,,0.454762317,,-0.63008843,0.964,0.265911446,0.94108,-0.64,,0.32293578,,-0.64,,0.508,,0.352460995,0.419801999,0.05805189,0.297820137,-0.64,,0.409068319,,,,,
-0.63,,0.361725197,,,-0.129395513,,0.133442906,-0.63,,0.444126082,,-0.62010967,0.963,0.251389922,0.939474167,-0.63,,0.309954233,,-0.63,,0.497416667,,0.372050604,0.439804323,0.069404443,0.313799722,-0.63,,0.397962782,,,,,
-0.62,,0.351315857,,,-0.118963808,,0.131550309,-0.62,,0.433678729,,-0.610020969,0.962,0.235847889,0.93787,-0.62,,0.297260274,,-0.62,,0.487,,0.392793046,0.459985984,0.082438123,0.330649283,-0.62,,0.387093664,,,,,
-0.61,,0.341215517,,,-0.109898646,,0.130046108,-0.61,,0.423418766,,-0.600041435,0.961,0.221825221,0.9362675,-0.61,,0.284851936,,-0.61,,0.47675,,0.412283104,0.479917582,0.095646807,0.347776733,-0.61,,0.376458393,,,,,
-0.6,,0.33142035,,,-0.099609699,,0.128456605,-0.6,,0.413344826,,-0.590077745,0.96,0.206938823,0.934666667,-0.6,,0.272727273,,-0.6,,0.466666667,,0.432849093,0.4997767,0.110608749,0.365669493,-0.6,,0.366054478,,,,,
-0.59,,0.321926443,,,-0.088664472,,0.127033102,-0.59,,0.403455653,,-0.580104934,0.959,0.193420798,0.9330675,-0.59,,0.260884354,,-0.59,,0.45675,,0.453188312,0.51992216,0.12645373,0.384319338,-0.59,,0.355879513,,,,,
-0.58,,0.312729788,,,-0.079878706,,0.125839596,-0.58,,0.39375009,,-0.570124925,0.958,0.178989471,0.93147,-0.58,,0.249321267,,-0.58,,0.447,,0.473171536,0.539953966,0.143050042,0.403343126,-0.58,,0.345931171,,,,,
-0.57,,0.303826282,,,-0.069269662,,0.124905057,-0.57,,0.384227073,,-0.560150561,0.957,0.165964226,0.929874167,-0.57,,0.238036117,,-0.57,,0.437416667,,0.492659572,0.559911689,0.160230119,0.423211162,-0.57,,0.336207204,,,,,
-0.56,,0.295211722,,,-0.058763945,,0.124000576,-0.56,,0.374885615,,-0.550016094,0.956,0.15181581,0.92828,-0.56,,0.227027027,,-0.56,,0.428,,0.513113914,0.579915222,0.179332998,0.443557999,-0.56,,0.32670544,,,,,
-0.55,,0.286881811,,,-0.049955302,,0.12331855,-0.55,,0.365724804,,-0.540016504,0.955,0.139257687,0.9266875,-0.55,,0.216292135,,-0.55,,0.41875,,0.532916334,0.599921763,0.198885957,0.464502468,-0.55,,0.317423782,,,,,
-0.54,,0.27883215,,,-0.038467682,,0.122602314,-0.54,,0.356743789,,-0.530039492,0.954,0.125793243,0.925096667,-0.54,,0.205829596,,-0.54,,0.409666667,,0.55366908,0.619882427,0.220510567,0.485790118,-0.54,,0.308360204,,,,,
-0.53,,0.271058243,,,-0.029801296,,0.122084763,-0.53,,0.347941776,,-0.520114662,0.953,0.112648704,0.9235075,-0.53,,0.195637584,,-0.53,,0.40075,,0.573587305,0.639856392,0.24237131,0.508085135,-0.53,,0.299512751,,,,,
-0.52,,0.263555497,,,-0.019155726,,0.121587992,-0.52,,0.33931802,,-0.510044609,0.952,0.10072646,0.92192,-0.52,,0.185714286,,-0.52,,0.392,,0.592489057,0.659889264,0.264131497,0.530820526,-0.52,,0.290879535,,,,,
-0.51,,0.256319225,,,-0.008111201,,0.121224934,-0.51,,0.330871817,,-0.500022103,0.951,0.087949811,0.920334167,-0.51,,0.176057906,,-0.51,,0.383416667,,0.612197672,0.679934646,0.287887244,0.554138843,-0.51,,0.282458735,,,,,
-0.5,,0.249344648,,,0.048378819,,0.121324304,-0.5,,0.3226025,,-0.490022015,0.95,0.076608175,0.91875,-0.5,,0.166666667,,-0.5,,0.375,,0.632766445,0.699794035,0.31385678,0.577797482,-0.5,,0.274248594,,,,,
-0.49,,0.242626901,,,0.149986596,,0.142954221,-0.49,,0.314509434,,-0.480042889,0.949,0.064365605,0.9171675,-0.49,,0.157538803,,-0.49,,0.36675,,0.652061817,0.719987285,0.339326295,0.602395595,-0.49,,0.266247418,,,,,
-0.48,,0.236161033,,,0.199871747,,0.158736067,-0.48,,0.30659201,,-0.470118411,0.948,0.053600231,0.915586667,-0.48,,0.148672566,,-0.48,,0.358666667,,0.672147392,0.739959819,0.366993716,0.627095964,-0.48,,0.258453572,,,,,
-0.47,,0.229942013,,,0.209907728,,0.162473508,-0.47,,0.29884964,,-0.460023054,0.947,0.041718303,0.9140075,-0.47,,0.140066225,,-0.47,,0.35075,,0.693073644,0.759562572,0.397089822,0.65232763,-0.47,,0.250865481,,,,,
-0.46,,0.22396474,,,0.219760652,,0.166324317,-0.46,,0.291281753,,-0.4500022,0.946,0.031346739,0.91243,-0.46,,0.131718062,,-0.46,,0.343,,0.712425249,0.77967274,0.426090964,0.678462494,-0.46,,0.243481628,,,,,
-0.45,,0.218224042,,,0.229901577,,0.170386863,-0.45,,0.283887794,,-0.440098626,0.945,0.020150363,0.910854167,-0.45,,0.123626374,,-0.45,,0.335416667,,0.732527187,0.799964613,0.457424038,0.704932508,-0.45,,0.236300547,,,,,
-0.44,,0.212714684,,,0.239891235,,0.174677232,-0.44,,0.276667219,,-0.430115525,0.944,0.009131502,0.90928,-0.44,,0.115789474,,-0.44,,0.328,,0.752095546,0.819939368,0.489123386,0.732281727,-0.44,,0.229320829,,,,,
-0.43,,0.207431378,,,0.249109161,,0.178740734,-0.43,,0.269619492,,-0.420102444,0.943,-0.000510566,0.9077075,-0.43,,0.108205689,,-0.43,,0.32075,,0.772406373,0.839893051,0.523293005,0.75974336,-0.43,,0.222541114,,,,,
-0.42,,0.202368786,,,0.25946595,,0.183483621,-0.42,,0.262744082,,-0.410022774,0.942,-0.011132095,0.906136667,-0.42,,0.100873362,,-0.42,,0.313666667,,0.792074078,0.859943263,0.557628308,0.788018059,-0.42,,0.215960095,,,,,
-0.41,,0.197521528,,,0.269690432,,0.188272908,-0.41,,0.256040463,,-0.400009442,0.941,-0.020275847,0.9045675,-0.41,,0.09379085,,-0.41,,0.30675,,0.812471538,0.879995792,0.594552686,0.816942134,-0.41,,0.209576509,,,,,
-0.4,,0.192884192,,,0.279418175,,0.19311753,-0.4,,0.249508113,,-0.390127626,0.94,-0.030229293,0.903,-0.4,,0.086956522,,-0.4,,0.3,,0.832107504,0.899994067,0.631381239,0.84597493,-0.4,,0.203389144,,,,,
